xn,yn,zn
725311.1,9880672.0,2901269.0
732366.6,9866289.0,2911439.8
739422.25,9851907.0,2921610.5
746477.75,9837525.0,2931781.2
753533.4,9823143.0,2941952.0
760588.9,9808760.0,2952122.8
767644.44,9794378.0,2962293.5
774700.0,9779996.0,2972464.5
781755.56,9765613.0,2982635.2
788811.1,9751231.0,2992806.0
795866.6,9736849.0,3002976.8
802922.25,9722466.0,3013147.5
809977.75,9708084.0,3023318.2
817033.3,9693702.0,3033489.0
824088.9,9679320.0,3043660.0
831144.44,9664937.0,3053830.8
838200.0,9650555.0,3064001.5
845255.56,9636173.0,3074172.2
852311.1,9621790.0,3084343.0
859366.7,9607408.0,3094514.0
866422.25,9593026.0,3104684.5
873477.75,9578644.0,3114855.5
880533.4,9564261.0,3125026.2
887588.9,9549879.0,3135197.0
894644.5,9535497.0,3145367.8
901700.0,9521114.0,3155538.5
908755.56,9506732.0,3165709.5
915811.1,9492350.0,3175880.2
922866.6,9477967.0,3186051.0
929922.25,9463585.0,3196221.8
936977.75,9449203.0,3206392.5
944033.4,9434821.0,3216563.2
951088.9,9420438.0,3226734.0
958144.44,9406056.0,3236905.0
965200.0,9391674.0,3247075.8
972255.5,9377291.0,3257246.5
979311.1,9362909.0,3267417.2
986366.6,9348527.0,3277588.0
993422.25,9334144.0,3287758.8
1000477.8,9319762.0,3297929.5
1007533.3,9305380.0,3308100.5
1014588.9,9290998.0,3318271.2
1021644.44,9276615.0,3328442.0
1028700.0,9262233.0,3338612.8
1035755.56,9247851.0,3348783.5
1042811.1,9233468.0,3358954.2
1049866.8,9219086.0,3369125.0
1056922.2,9204704.0,3379296.0
1063977.8,9190322.0,3389466.8
1071033.4,9175939.0,3399637.5
1078088.9,9161557.0,3409808.2
1085144.5,9147175.0,3419979.0
1092200.0,9132792.0,3430149.8
1099255.5,9118410.0,3440320.5
1106311.1,9104028.0,3450491.5
1113366.8,9089646.0,3460662.2
1120422.2,9075263.0,3470833.0
1127477.8,9060881.0,3481003.8
1134533.2,9046498.0,3491174.5
